time,open,high,low,close
1778023140,7317.75,7318,7316.5,7317
1778023200,7317,7317.75,7316.75,7317.5
1778023260,7317.5,7317.5,7316.5,7317.5
1778023320,7317.5,7318.5,7317.25,7317.75
1778023380,7318.25,7318.25,7315,7315.25
1778023440,7315.25,7315.5,7314.75,7314.75
1778023500,7314.75,7315.5,7314.5,7315
1778023560,7314.75,7314.75,7313.75,7314
1778023620,7313.75,7314,7313.5,7314
1778023680,7313.75,7314.75,7313.5,7314.5
1778023740,7314.5,7315,7313.75,7313.75
1778023800,7313.75,7315,7313.75,7314.5
1778023860,7314.25,7315.25,7314.25,7315
1778023920,7315,7316.5,7314.75,7315.5
1778023980,7315.5,7316,7315.25,7315.5
1778024040,7315.5,7316,7315.5,7316
1778024100,7315.75,7316.5,7315.5,7315.75
1778024160,7315.75,7316.5,7315.75,7316.25
1778024220,7316.25,7316.25,7315.75,7315.75
1778024280,7315.75,7316.25,7315.75,7316
1778024340,7316,7316.25,7314.25,7315
1778024400,7315,7315,7314.25,7314.5
1778024460,7314.75,7315.5,7314.5,7315.5
1778024520,7315.25,7316,7315,7315.75
1778024580,7315.5,7315.75,7315.25,7315.75
1778024640,7315.5,7315.5,7313.75,7313.75
1778024700,7314,7315,7313.75,7315
1778024760,7315,7315.25,7314.25,7314.5
1778024820,7314.5,7315.5,7314.5,7315.5
1778024880,7315.5,7315.5,7314.5,7314.75
1778024940,7314.75,7315.5,7314.75,7315
1778025000,7315,7315,7314.5,7314.75
1778025060,7314.75,7315.5,7314.5,7315
1778025120,7314.75,7314.75,7313.75,7314.75
1778025180,7314.5,7314.75,7314.25,7314.5
1778025240,7314.25,7314.5,7314.25,7314.5
1778025300,7314.5,7314.75,7313.5,7314.25
1778025360,7314.25,7315,7314.25,7314.75
1778025420,7314.75,7315.25,7314,7314
1778025480,7314.25,7314.75,7314,7314.75
1778025540,7314.5,7314.5,7314.25,7314.25
1778025600,7314.25,7314.75,7311.75,7313.5
1778025660,7313.25,7315.25,7313.25,7314
1778025720,7314,7316,7313.75,7315.25
1778025780,7315.25,7315.5,7312.75,7313
1778025840,7312.75,7313.75,7312.25,7312.75
1778025900,7313,7313.5,7310.5,7310.5
1778025960,7310.25,7310.5,7308,7308
1778026020,7308,7309.25,7307.75,7308.75
1778026080,7308.75,7310.75,7308.75,7310.25
1778026140,7310.25,7311.5,7309.75,7310.5
1778026200,7310.75,7311.75,7309.5,7311.25
1778026260,7311,7311.75,7310.5,7311
1778026320,7311,7311.25,7309.5,7309.5
1778026380,7309.75,7310.25,7308.75,7309
1778026440,7309,7309.5,7308.25,7308.5
1778026500,7308.5,7308.5,7305.5,7306
1778026560,7306.25,7306.75,7304.25,7305.25
1778026620,7305.25,7306.5,7304.75,7305.5
1778026680,7305.5,7307.75,7304.75,7307
1778026740,7307,7307.25,7306,7306.75
1778026800,7307,7307.75,7305.5,7307.25
1778026860,7307,7307.25,7303.5,7303.5
1778026920,7303.75,7304.75,7303.25,7304.75
1778026980,7304.5,7306.25,7304.25,7305.25
1778027040,7305.25,7305.75,7305,7305.75
1778027100,7305.75,7306.25,7304.5,7305
1778027160,7305.25,7306,7303.5,7304
1778027220,7303.75,7304,7302,7302.25
1778027280,7302.5,7302.5,7301.25,7301.25
1778027340,7301.25,7302.5,7301,7301.5
1778027400,7301.25,7302.25,7300.75,7302
1778027460,7301.75,7303.5,7301.5,7303.5
1778027520,7303.25,7304.5,7303.25,7303.75
1778027580,7303.75,7304.5,7302.25,7303
1778027640,7303,7304,7303,7303.25
1778027700,7303.25,7303.5,7302.75,7303.5
1778027760,7303.5,7303.75,7302.25,7302.5
1778027820,7302.5,7303.5,7302.25,7303.5
1778027880,7303.5,7303.5,7302.25,7303.25
1778027940,7303.25,7303.75,7302.75,7303.25
1778028000,7303.25,7304,7303,7303.5
1778028060,7303.5,7304.75,7303.5,7304.5
1778028120,7304.5,7305,7303.5,7303.75
1778028180,7304,7304.25,7303.25,7304
1778028240,7304,7304,7302.25,7302.75
1778028300,7302.75,7303.25,7302.25,7302.75
1778028360,7302.5,7303,7302.25,7302.5
1778028420,7302.5,7302.5,7301.5,7302.25
1778028480,7302.5,7302.5,7301.5,7301.5
1778028540,7301.5,7301.75,7299.25,7300.5
1778028600,7300.75,7302.5,7300.75,7302.5
1778028660,7302.5,7303.5,7302.5,7303.25
1778028720,7303,7303,7302,7302.25
1778028780,7302.25,7302.75,7302,7302.5
1778028840,7302.5,7303.75,7302.5,7303.5
1778028900,7303.25,7303.75,7303,7303.75
1778028960,7304,7304,7303.5,7303.75
1778029020,7304,7304,7302.75,7303.25
1778029080,7303.25,7303.5,7302.5,7302.75
1778029140,7303,7303.75,7303,7303.5
1778029200,7303.25,7306,7303.25,7304.5
1778029260,7304.25,7305.5,7302.75,7304.75
1778029320,7304.75,7306.25,7304.75,7305.75
1778029380,7305.75,7306.5,7305.75,7306
1778029440,7305.75,7307.25,7305.75,7306.25
1778029500,7306.25,7307.5,7306.25,7307
1778029560,7307,7307.25,7306.75,7306.75
1778029620,7306.5,7306.75,7306,7306.5
1778029680,7306.25,7307,7306.25,7307
1778029740,7306.75,7307.25,7306.75,7307
1778029800,7307.25,7307.5,7306,7306
1778029860,7306.25,7307,7306.25,7306.75
1778029920,7306.75,7307.5,7306.5,7306.75
1778029980,7306.5,7307,7305.75,7306.75
1778030040,7306.75,7307,7306.25,7306.5
1778030100,7306.75,7306.75,7305,7305.75
1778030160,7305.75,7306.5,7305.75,7306.25
1778030220,7306.25,7307,7306.25,7307
1778030280,7307,7308.25,7306.5,7307.25
1778030340,7307.25,7308,7307.25,7307.5
1778030400,7307.5,7307.75,7307.25,7307.75
1778030460,7307.75,7308.5,7307.75,7308
1778030520,7307.75,7307.75,7306.75,7307
1778030580,7307.25,7307.75,7307,7307.75
1778030640,7307.75,7308.25,7307.75,7308
1778030700,7308,7308.25,7307.25,7307.25
1778030760,7307.25,7307.25,7306,7306.25
1778030820,7306.25,7306.5,7305.5,7305.75
1778030880,7306,7306.25,7305.25,7305.25
1778030940,7305.5,7306.25,7304.75,7305.5
1778031000,7305.5,7305.5,7303.75,7304.25
1778031060,7304.5,7307.25,7304.5,7306.75
1778031120,7306.5,7306.75,7305.75,7305.75
1778031180,7305.75,7306.25,7305,7305.75
1778031240,7306,7306,7305.25,7305.5
1778031300,7305.75,7306,7305,7305.25
1778031360,7305,7306.25,7304.75,7306
1778031420,7305.75,7305.75,7305,7305
1778031480,7305,7306,7304.5,7305.75
1778031540,7306,7306,7305.5,7305.75
1778031600,7305.75,7307.5,7305.75,7307.5
1778031660,7307.25,7307.75,7307.25,7307.5
1778031720,7307.25,7307.25,7306,7307.25
1778031780,7307.25,7307.75,7307,7307.75
1778031840,7307.5,7308.25,7307.5,7308
1778031900,7308,7309,7308,7308.5
1778031960,7308.5,7309.25,7308,7308.5
1778032020,7308.5,7310.25,7308.5,7309.75
1778032080,7309.75,7310,7309,7309.25
1778032140,7309.25,7309.75,7308.5,7308.75
1778032200,7308.75,7308.75,7308.25,7308.75
1778032260,7308.5,7309.25,7307.75,7308.75
1778032320,7308.75,7309,7308.25,7308.5
1778032380,7308.5,7308.75,7308.25,7308.5
1778032440,7308.25,7308.25,7306.75,7307
1778032500,7307,7307,7305.5,7305.5
1778032560,7305.5,7306.75,7305.5,7306.25
1778032620,7306.25,7307.25,7306,7307
1778032680,7307,7307.25,7306.75,7307.25
1778032740,7307,7308,7306.75,7307.75
1778032800,7307.75,7308.25,7307.5,7307.5
1778032860,7307.75,7307.75,7306.75,7306.75
1778032920,7307,7308,7307,7307.75
1778032980,7307.5,7307.75,7306.25,7306.5
1778033040,7306.5,7307.25,7306,7306
1778033100,7305.75,7306.5,7305,7305.25
1778033160,7305,7305.5,7304,7304.75
1778033220,7304.25,7305,7304.25,7304.75
1778033280,7304.5,7305.5,7304.5,7305.5
1778033340,7305.5,7307,7305.25,7306.75
1778033400,7306.75,7307,7306.25,7306.5
1778033460,7306.5,7307.25,7306,7307.25
1778033520,7307,7307,7306.25,7306.5
1778033580,7306.75,7307.25,7306.5,7306.75
1778033640,7306.75,7306.75,7306,7306.5
1778033700,7306.5,7307.25,7306.25,7307.25
1778033760,7307.25,7308,7307,7307
